Year,County_Desc,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
2014,Sweetwater,0,1,0,1,2,37,8,0,23,0,0,0,0,25,2,0,2,1,15,0,1,1,27,1,9,54,2,29,37,0
2015,Sweetwater,0,1,2,13,6,36,4,4,43,0,0,0,0,4,3,0,2,2,14,0,0,3,33,0,4,52,2,28,21,0
2010,Teton,0,0,0,5,1,13,0,0,1,0,0,0,0,0,0,0,0,3,10,0,0,1,14,0,2,22,0,0,1,0
2011,Teton,0,1,0,3,0,13,1,1,1,0,0,0,1,2,0,0,0,1,8,0,0,3,12,0,0,7,0,0,0,0
2012,Teton,0,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,6,0,1,0,6,0,0,5,0,0,1,0
2013,Teton,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,0,5,0,0,1,0
2014,Teton,0,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,1,3,0,0,1,0,0,1,0
2015,Teton,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,1,0,10,0,0,0,3,0,0,6,0,0,4,0
2010,Uinta,0,0,0,0,1,33,2,0,10,0,0,0,0,18,0,0,0,5,10,0,1,2,43,0,8,37,3,85,10,0
2011,Uinta,0,0,0,0,0,9,1,1,5,0,0,0,0,1,0,0,0,6,8,0,0,0,17,0,9,63,0,30,6,0
2012,Uinta,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,0,0,4,7,0,0,2,6,0,8,38,0,21,15,0
2013,Uinta,0,0,0,1,1,23,0,0,9,0,0,0,0,0,1,0,0,3,3,0,0,0,2,1,13,38,0,22,11,0
2014,Uinta,0,0,0,1,1,27,0,0,12,0,0,0,0,7,1,0,1,6,0,0,0,0,3,7,7,20,0,17,6,5
2015,Uinta,0,0,0,1,0,20,2,0,1,0,0,0,0,8,0,0,0,1,4,0,0,0,14,1,15,32,0,14,4,0
2010,Washakie,0,0,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,6,0,1,2,20,0,0,2,0,0,0,0
2011,Washakie,0,0,0,0,1,1,0,0,6,0,0,0,0,1,0,0,0,1,2,0,0,1,6,1,1,1,0,0,0,0
2012,Washakie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,9,1,0,7,0,0,2,0
2013,Washakie,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,1,0,0,1,0
2014,Washakie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,8,0,0,2,0,0,1,0
2015,Washakie,0,0,0,0,4,4,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,4,1,2,1,0,0,0,0
2010,Weston,0,0,0,0,0,8,0,0,6,0,0,0,0,1,0,0,0,2,0,0,0,0,4,1,2,7,0,0,11,0
2011,Weston,0,0,0,1,3,4,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,0,0,3,5,0
2012,Weston,0,0,0,0,3,2,0,0,8,0,0,0,0,5,0,0,0,3,2,0,0,0,8,0,3,9,0,5,0,0
2013,Weston,0,0,0,0,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0
2014,Weston,0,0,0,0,2,9,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1,18,0,0,0,0
2015,Weston,0,0,0,0,0,12,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,1,6,0,2,1,0,2,0,0
