"County","Year","Age Range","White","Black","American Indian","Asian","Total"
"Sweetwater",1996,"10","678","4","12","1","695"
"Sweetwater",1996,"11","724","3","9","3","739"
"Sweetwater",1996,"12","752","6","7","5","770"
"Sweetwater",1996,"13","826","5","11","2","844"
"Sweetwater",1996,"14","784","7","10","1","802"
"Sweetwater",1996,"15","760","11","7","1","779"
"Sweetwater",1996,"16","807","10","8","6","831"
"Sweetwater",1996,"17","789","4","10","5","808"
"Sweetwater",1996,"18 to 20","1825","15","15","22","1877"
"Sweetwater",1996,"21 to 24","1782","19","20","18","1839"
"Sweetwater",1996,"25 & over","22796","162","190","153","23301"
"Sweetwater",1996,"Total","38332","311","374","240","39257"
"Carbon",1999,"0","168","0","0","2","170"
"Carbon",1999,"1","185","0","0","1","186"
"Carbon",1999,"2","179","2","0","0","181"
"Carbon",1999,"3","174","0","6","0","180"
"Carbon",1999,"4","180","0","0","0","180"
"Carbon",1999,"5","187","2","5","0","194"
"Carbon",1999,"6","181","0","3","0","184"
"Carbon",1999,"7","192","0","0","2","194"
"Carbon",1999,"8","198","3","9","1","211"
"Carbon",1999,"9","200","0","0","3","203"
"Carbon",1999,"10","205","4","6","4","219"
"Carbon",1999,"11","198","5","5","0","208"
"Carbon",1999,"12","225","3","0","4","232"
"Carbon",1999,"13","242","0","0","0","242"
"Carbon",1999,"14","257","0","0","3","260"
"Carbon",1999,"15","259","2","0","16","277"
"Carbon",1999,"16","271","0","0","3","274"
"Carbon",1999,"17","284","0","0","2","286"
"Carbon",1999,"18 to 20","572","10","16","4","602"
"Carbon",1999,"21 to 24","725","10","13","3","751"
"Carbon",1999,"25 & over","10268","66","107","55","10496"
"Carbon",1999,"Total","15350","107","170","103","15730"
"Lincoln",1990,"0","211","0","3","0","214"
"Lincoln",1990,"1","225","0","3","1","229"
"Lincoln",1990,"2","238","0","1","0","239"
"Lincoln",1990,"3","242","0","0","0","242"
"Lincoln",1990,"4","235","0","0","0","235"
"Lincoln",1990,"5","261","1","0","0","262"
"Lincoln",1990,"6","263","0","0","2","265"
"Lincoln",1990,"7","304","0","0","0","304"
"Lincoln",1990,"8","303","0","3","0","306"
"Lincoln",1990,"9","313","0","2","0","315"
"Lincoln",1990,"10","313","1","4","2","320"
"Lincoln",1990,"11","324","0","1","0","325"
"Lincoln",1990,"12","277","0","2","0","279"
"Lincoln",1990,"13","285","0","4","0","289"
"Lincoln",1990,"14","267","0","1","0","268"
"Lincoln",1990,"15","269","1","1","0","271"
"Lincoln",1990,"16","262","0","2","0","264"
"Lincoln",1990,"17","230","0","1","0","231"
"Lincoln",1990,"18 to 20","405","1","7","0","413"
"Lincoln",1990,"21 to 24","359","0","0","0","359"
"Lincoln",1990,"25 & over","7035","1","23","21","7080"
"Lincoln",1990,"Total","12621","5","58","26","12710"
"Hot Springs",2002,"0","44","0","1","0","45"
"Hot Springs",2002,"1","47","2","3","0","52"
"Hot Springs",2002,"2","43","2","4","1","50"
"Hot Springs",2002,"3","48","0","0","0","48"
"Hot Springs",2002,"4","48","1","0","0","49"
"Hot Springs",2002,"5","38","0","1","0","39"
"Hot Springs",2002,"6","59","0","1","0","60"
"Hot Springs",2002,"7","45","1","1","0","47"
"Hot Springs",2002,"8","43","0","0","0","43"
"Hot Springs",2002,"9","51","0","2","0","53"
"Hot Springs",2002,"10","51","0","0","0","51"
"Hot Springs",2002,"11","66","0","4","0","70"
"Hot Springs",2002,"12","63","0","2","1","66"
"Hot Springs",2002,"13","62","0","2","0","64"
"Hot Springs",2002,"14","72","1","2","0","75"
"Hot Springs",2002,"15","60","0","3","0","63"
"Hot Springs",2002,"16","78","0","3","0","81"
"Hot Springs",2002,"17","61","0","0","0","61"
"Hot Springs",2002,"18 to 20","171","0","4","1","176"
"Hot Springs",2002,"21 to 24","130","1","4","0","135"
"Hot Springs",2002,"25 & over","3354","8","44","9","3415"
"Hot Springs",2002,"Total","4634","16","81","12","4743"
"Washakie",2011,"0","105","2","1","0","108"
"Washakie",2011,"1","99","4","0","1","104"
"Washakie",2011,"2","100","3","1","1","105"
"Washakie",2011,"3","103","2","1","2","108"
"Washakie",2011,"4","115","1","2","1","119"
"Washakie",2011,"5","120","1","5","0","126"
"Washakie",2011,"6","125","0","2","1","128"
"Washakie",2011,"7","118","0","1","3","122"
"Washakie",2011,"8","123","1","2","2","128"
"Washakie",2011,"9","127","0","3","0","130"
"Washakie",2011,"10","111","0","1","0","112"
"Washakie",2011,"11","107","0","1","1","109"
"Washakie",2011,"12","117","0","3","1","121"
"Washakie",2011,"13","118","0","8","0","126"
"Washakie",2011,"14","116","1","2","2","121"
"Washakie",2011,"15","108","0","4","0","112"
"Washakie",2011,"16","120","3","5","3","131"
"Washakie",2011,"17","130","3","1","1","135"
"Washakie",2011,"18 to 20","237","2","10","3","252"
"Washakie",2011,"21 to 24","244","3","2","9","258"
"Washakie",2011,"25 & over","5662","26","85","42","5815"
"Washakie",2011,"Total","8205","52","140","73","8470"
"Sublette",2011,"0","134","0","1","0","135"
"Sublette",2011,"1","103","2","0","0","105"
"Sublette",2011,"2","144","3","2","2","151"
"Sublette",2011,"3","151","3","2","1","157"
"Sublette",2011,"4","145","3","3","0","151"
"Sublette",2011,"5","132","0","3","2","137"
"Sublette",2011,"6","133","2","3","1","139"
"Sublette",2011,"7","128","1","2","4","135"
"Sublette",2011,"8","136","1","1","2","140"
"Sublette",2011,"9","135","0","2","5","142"
"Sublette",2011,"10","121","0","1","4","126"
"Sublette",2011,"11","136","0","2","3","141"
"Sublette",2011,"12","129","1","3","1","134"
"Sublette",2011,"13","126","2","2","1","131"
"Sublette",2011,"14","129","1","2","0","132"
"Sublette",2011,"15","123","0","1","1","125"
"Sublette",2011,"16","121","3","2","1","127"
"Sublette",2011,"17","141","1","6","0","148"
"Sublette",2011,"18 to 20","279","3","10","1","293"
"Sublette",2011,"21 to 24","407","5","3","12","427"
"Sublette",2011,"25 & over","6799","61","70","39","6969"
"Sublette",2011,"Total","9852","92","121","80","10145"
"Niobrara",2013,"0","27","0","0","0","27"
"Niobrara",2013,"1","20","0","1","0","21"
"Niobrara",2013,"2","25","0","0","0","25"
"Niobrara",2013,"3","26","0","0","0","26"
"Niobrara",2013,"4","23","0","1","0","24"
"Niobrara",2013,"5","13","0","0","0","13"
"Niobrara",2013,"6","22","0","0","0","22"
"Niobrara",2013,"7","23","0","2","0","25"
"Niobrara",2013,"8","17","0","0","0","17"
"Niobrara",2013,"9","20","0","0","0","20"
"Niobrara",2013,"10","32","1","0","0","33"
"Niobrara",2013,"11","29","0","0","0","29"
"Niobrara",2013,"12","30","0","0","0","30"
"Niobrara",2013,"13","21","1","0","0","22"
"Niobrara",2013,"14","35","0","0","0","35"
"Niobrara",2013,"15","28","1","0","0","29"
"Niobrara",2013,"16","35","0","0","0","35"
"Niobrara",2013,"17","25","0","0","1","26"
"Niobrara",2013,"18 to 20","65","3","0","1","69"
"Niobrara",2013,"21 to 24","99","3","3","0","105"
"Niobrara",2013,"25 & over","1861","21","23","8","1913"
"Niobrara",2013,"Total","2476","30","30","10","2546"
"Converse",2010,"0","180","2","5","1","188"
"Converse",2010,"1","175","3","1","2","181"
"Converse",2010,"2","191","1","1","0","193"
"Converse",2010,"3","201","5","1","2","209"
"Converse",2010,"4","192","5","4","1","202"
"Converse",2010,"5","198","5","2","1","206"
"Converse",2010,"6","180","1","3","0","184"
"Converse",2010,"7","184","2","2","1","189"
"Converse",2010,"8","191","2","3","1","197"
"Converse",2010,"9","188","1","0","1","190"
"Converse",2010,"10","195","2","0","1","198"
"Converse",2010,"11","197","4","1","0","202"
"Converse",2010,"12","174","4","1","0","179"
"Converse",2010,"13","188","3","2","0","193"
"Converse",2010,"14","187","6","1","0","194"
"Converse",2010,"15","169","3","0","0","172"
"Converse",2010,"16","207","3","2","0","212"
"Converse",2010,"17","217","2","2","1","222"
"Converse",2010,"18 to 20","452","3","2","0","457"
"Converse",2010,"21 to 24","572","2","5","2","581"
"Converse",2010,"25 & over","9118","32","90","38","9278"
"Converse",2010,"Total","13556","91","128","52","13827"
"Crook",2014,"0","98","0","0","0","98"
"Crook",2014,"1","90","0","0","0","90"
"Crook",2014,"2","113","2","0","0","115"
"Crook",2014,"3","88","0","1","0","89"
"Crook",2014,"4","111","0","1","0","112"
"Crook",2014,"5","83","0","3","0","86"
"Crook",2014,"6","115","2","1","1","119"
"Crook",2014,"7","97","2","2","1","102"
"Crook",2014,"8","91","1","2","1","95"
"Crook",2014,"9","89","1","1","0","91"
"Crook",2014,"10","87","1","1","0","89"
"Crook",2014,"11","88","1","1","0","90"
"Crook",2014,"12","94","1","2","1","98"
"Crook",2014,"13","83","2","3","0","88"
"Crook",2014,"14","90","2","1","0","93"
"Crook",2014,"15","75","0","3","0","78"
"Crook",2014,"16","76","1","0","0","77"
"Crook",2014,"17","97","1","2","0","100"
"Crook",2014,"18 to 20","231","8","3","4","246"
"Crook",2014,"21 to 24","260","2","1","1","264"
"Crook",2014,"25 & over","4900","66","39","12","5017"
"Crook",2014,"Total","7056","93","67","21","7237"
"Teton",2004,"0","229","2","2","1","234"
"Teton",2004,"1","215","1","0","1","217"
"Teton",2004,"2","185","1","2","4","192"
"Teton",2004,"3","186","2","1","1","190"
"Teton",2004,"4","139","0","1","2","142"
"Teton",2004,"5","166","1","2","3","172"
"Teton",2004,"6","178","2","0","2","182"
"Teton",2004,"7","195","2","1","3","201"
"Teton",2004,"8","169","1","2","2","174"
"Teton",2004,"9","179","1","0","4","184"
"Teton",2004,"10","229","2","2","2","235"
"Teton",2004,"11","175","1","1","2","179"
"Teton",2004,"12","238","2","0","2","242"
"Teton",2004,"13","221","1","0","2","224"
"Teton",2004,"14","238","0","2","2","242"
"Teton",2004,"15","248","0","3","2","253"
"Teton",2004,"16","221","0","2","1","224"
"Teton",2004,"17","235","2","2","2","241"
"Teton",2004,"18 to 20","540","3","3","7","553"
"Teton",2004,"21 to 24","1189","4","12","15","1220"
"Teton",2004,"25 & over","13681","43","102","140","13966"
"Teton",2004,"Total","19056","71","140","200","19467"
"Sweetwater",1998,"0","516","12","4","0","532"
"Sweetwater",1998,"1","555","4","6","5","570"
"Sweetwater",1998,"2","515","8","12","0","535"
"Sweetwater",1998,"3","514","15","7","0","536"
"Sweetwater",1998,"4","508","3","4","0","515"
"Sweetwater",1998,"5","505","8","7","3","523"
"Sweetwater",1998,"6","584","8","13","1","606"
"Sweetwater",1998,"7","581","3","22","2","608"
"Sweetwater",1998,"8","643","4","6","2","655"
"Sweetwater",1998,"9","627","3","8","5","643"
"Sweetwater",1998,"10","588","2","9","2","601"
"Sweetwater",1998,"11","640","6","11","2","659"
"Sweetwater",1998,"12","694","8","6","3","711"
"Sweetwater",1998,"13","772","4","11","3","790"
"Sweetwater",1998,"14","727","10","8","1","746"
"Sweetwater",1998,"15","746","12","10","1","769"
"Sweetwater",1998,"16","790","7","6","5","808"
"Sweetwater",1998,"17","805","3","10","5","823"
"Sweetwater",1998,"18 to 20","1929","19","27","26","2001"
"Sweetwater",1998,"21 to 24","1798","19","18","21","1856"
"Sweetwater",1998,"25 & over","22558","151","205","164","23078"
"Sweetwater",1998,"Total","37595","309","410","251","38565"
"Campbell",1990,"0","494","0","9","2","505"
"Campbell",1990,"1","505","3","10","2","520"
"Campbell",1990,"2","516","1","7","0","524"
"Campbell",1990,"3","546","0","6","0","552"
"Campbell",1990,"4","595","1","8","0","604"
"Campbell",1990,"5","632","0","11","0","643"
"Campbell",1990,"6","630","0","4","1","635"
"Campbell",1990,"7","652","0","12","0","664"
"Campbell",1990,"8","619","1","6","1","627"
"Campbell",1990,"9","639","0","13","7","659"
"Campbell",1990,"10","681","6","10","6","703"
"Campbell",1990,"11","584","0","7","0","591"
"Campbell",1990,"12","605","0","14","1","620"
"Campbell",1990,"13","578","0","7","3","588"
"Campbell",1990,"14","546","0","3","0","549"
"Campbell",1990,"15","531","1","5","5","542"
"Campbell",1990,"16","501","4","5","2","512"
"Campbell",1990,"17","493","2","8","2","505"
"Campbell",1990,"18 to 20","1001","1","14","0","1016"
"Campbell",1990,"21 to 24","1120","2","29","5","1156"
"Campbell",1990,"25 & over","16486","11","149","42","16688"
"Campbell",1990,"Total","28954","33","337","79","29403"
"Albany",2015,"0","386","10","8","18","422"
"Albany",2015,"1","367","18","7","11","403"
"Albany",2015,"2","336","16","4","17","373"
"Albany",2015,"3","350","16","12","17","395"
"Albany",2015,"4","325","18","5","18","366"
"Albany",2015,"5","348","19","9","10","386"
"Albany",2015,"6","341","21","8","8","378"
"Albany",2015,"7","324","14","8","10","356"
"Albany",2015,"8","341","8","6","13","368"
"Albany",2015,"9","317","8","7","8","340"
"Albany",2015,"10","294","6","7","7","314"
"Albany",2015,"11","284","10","6","6","306"
"Albany",2015,"12","275","4","3","7","289"
"Albany",2015,"13","275","9","7","12","303"
"Albany",2015,"14","291","7","5","13","316"
"Albany",2015,"15","277","8","7","8","300"
"Albany",2015,"16","252","11","8","6","277"
"Albany",2015,"17","291","21","5","14","331"
"Albany",2015,"18 to 20","3790","66","23","190","4069"
"Albany",2015,"21 to 24","6426","195","99","227","6947"
"Albany",2015,"25 & over","19437","408","267","728","20840"
"Albany",2015,"Total","35327","893","511","1348","38079"
"Laramie",2006,"0","1177","88","33","17","1315"
"Laramie",2006,"1","1145","60","26","19","1250"
"Laramie",2006,"2","1114","78","19","30","1241"
"Laramie",2006,"3","1047","51","13","18","1129"
"Laramie",2006,"4","1063","69","36","33","1201"
"Laramie",2006,"5","1064","61","24","18","1167"
"Laramie",2006,"6","1045","62","16","31","1154"
"Laramie",2006,"7","1001","28","15","30","1074"
"Laramie",2006,"8","1031","57","21","23","1132"
"Laramie",2006,"9","1034","45","14","10","1103"
"Laramie",2006,"10","1050","32","28","10","1120"
"Laramie",2006,"11","1100","57","26","11","1194"
"Laramie",2006,"12","1079","45","22","17","1163"
"Laramie",2006,"13","1195","46","13","25","1279"
"Laramie",2006,"14","1082","68","15","20","1185"
"Laramie",2006,"15","1137","52","19","21","1229"
"Laramie",2006,"16","1154","23","18","17","1212"
"Laramie",2006,"17","1099","37","15","17","1168"
"Laramie",2006,"18 to 20","3275","186","59","68","3588"
"Laramie",2006,"21 to 24","4987","335","74","104","5500"
"Laramie",2006,"25 & over","53818","1219","611","767","56415"
"Laramie",2006,"Total","81697","2699","1117","1306","86819"
"Fremont",2014,"0","333","7","263","1","604"
"Fremont",2014,"1","326","12","231","2","571"
"Fremont",2014,"2","349","4","257","2","612"
"Fremont",2014,"3","341","12","264","6","623"
"Fremont",2014,"4","379","4","236","9","628"
"Fremont",2014,"5","388","5","212","2","607"
"Fremont",2014,"6","377","4","235","3","619"
"Fremont",2014,"7","409","6","201","4","620"
"Fremont",2014,"8","383","5","238","2","628"
"Fremont",2014,"9","350","4","232","6","592"
"Fremont",2014,"10","336","6","213","5","560"
"Fremont",2014,"11","348","3","200","3","554"
"Fremont",2014,"12","340","6","203","3","552"
"Fremont",2014,"13","334","7","173","3","517"
"Fremont",2014,"14","334","5","175","0","514"
"Fremont",2014,"15","359","4","167","1","531"
"Fremont",2014,"16","348","6","180","3","537"
"Fremont",2014,"17","353","6","170","6","535"
"Fremont",2014,"18 to 20","947","19","420","10","1396"
"Fremont",2014,"21 to 24","1344","17","615","14","1990"
"Fremont",2014,"25 & over","21990","194","4537","169","26890"
"Fremont",2014,"Total","30668","336","9422","254","40680"
"Carbon",2015,"0","201","6","7","2","216"
"Carbon",2015,"1","168","2","1","1","172"
"Carbon",2015,"2","190","5","10","1","206"
"Carbon",2015,"3","209","3","3","1","216"
"Carbon",2015,"4","220","6","6","2","234"
"Carbon",2015,"5","203","4","4","1","212"
"Carbon",2015,"6","203","2","3","1","209"
"Carbon",2015,"7","219","4","3","1","227"
"Carbon",2015,"8","206","3","3","4","216"
"Carbon",2015,"9","207","5","2","1","215"
"Carbon",2015,"10","173","5","3","4","185"
"Carbon",2015,"11","192","3","3","1","199"
"Carbon",2015,"12","206","2","2","1","211"
"Carbon",2015,"13","181","7","5","0","193"
"Carbon",2015,"14","182","2","6","3","193"
"Carbon",2015,"15","186","5","2","1","194"
"Carbon",2015,"16","189","2","5","3","199"
"Carbon",2015,"17","189","5","2","2","198"
"Carbon",2015,"18 to 20","433","6","8","4","451"
"Carbon",2015,"21 to 24","698","19","22","28","767"
"Carbon",2015,"25 & over","10166","161","190","124","10641"
"Carbon",2015,"Total","14821","257","290","186","15554"
"Laramie",1999,"0","998","53","11","13","1075"
"Laramie",1999,"1","1014","59","8","21","1102"
"Laramie",1999,"2","1016","31","11","22","1080"
"Laramie",1999,"3","1011","48","8","14","1081"
"Laramie",1999,"4","966","55","30","19","1070"
"Laramie",1999,"5","1056","49","15","18","1138"
"Laramie",1999,"6","1069","41","22","16","1148"
"Laramie",1999,"7","1152","48","11","23","1234"
"Laramie",1999,"8","1094","30","12","15","1151"
"Laramie",1999,"9","1147","84","13","14","1258"
"Laramie",1999,"10","1106","40","18","18","1182"
"Laramie",1999,"11","1096","64","14","14","1188"
"Laramie",1999,"12","1135","45","16","17","1213"
"Laramie",1999,"13","1178","30","11","19","1238"
"Laramie",1999,"14","1193","31","31","13","1268"
"Laramie",1999,"15","1196","66","7","16","1285"
"Laramie",1999,"16","1204","33","16","13","1266"
"Laramie",1999,"17","1111","29","9","15","1164"
"Laramie",1999,"18 to 20","3094","197","53","57","3401"
"Laramie",1999,"21 to 24","4063","231","76","87","4457"
"Laramie",1999,"25 & over","49711","1252","438","609","52010"
"Laramie",1999,"Total","76610","2516","830","1053","81009"
"Lincoln",2007,"0","296","0","1","1","298"
"Lincoln",2007,"1","277","2","2","1","282"
"Lincoln",2007,"2","255","1","4","0","260"
"Lincoln",2007,"3","203","0","2","0","205"
"Lincoln",2007,"4","267","1","2","2","272"
"Lincoln",2007,"5","250","1","5","2","258"
"Lincoln",2007,"6","239","1","3","0","243"
"Lincoln",2007,"7","271","0","6","0","277"
"Lincoln",2007,"8","252","2","3","0","257"
"Lincoln",2007,"9","242","2","3","0","247"
"Lincoln",2007,"10","283","2","3","1","289"
"Lincoln",2007,"11","248","3","2","0","253"
"Lincoln",2007,"12","260","2","1","2","265"
"Lincoln",2007,"13","271","3","4","0","278"
"Lincoln",2007,"14","282","2","3","0","287"
"Lincoln",2007,"15","241","2","4","1","248"
"Lincoln",2007,"16","298","3","3","2","306"
"Lincoln",2007,"17","266","0","4","0","270"
"Lincoln",2007,"18 to 20","511","2","3","1","517"
"Lincoln",2007,"21 to 24","639","2","10","1","652"
"Lincoln",2007,"25 & over","10891","19","93","46","11049"
"Lincoln",2007,"Total","16742","50","161","60","17013"
"Teton",2014,"0","246","0","1","0","247"
"Teton",2014,"1","236","5","0","1","242"
"Teton",2014,"2","223","2","1","2","228"
"Teton",2014,"3","244","3","1","2","250"
"Teton",2014,"4","266","2","7","4","279"
"Teton",2014,"5","270","2","5","5","282"
"Teton",2014,"6","263","3","3","6","275"
"Teton",2014,"7","277","1","2","3","283"
"Teton",2014,"8","232","2","5","4","243"
"Teton",2014,"9","238","6","1","4","249"
"Teton",2014,"10","222","2","2","5","231"
"Teton",2014,"11","221","2","3","7","233"
"Teton",2014,"12","207","4","1","3","215"
"Teton",2014,"13","192","1","3","5","201"
"Teton",2014,"14","204","2","4","4","214"
"Teton",2014,"15","186","1","2","2","191"
"Teton",2014,"16","203","2","4","5","214"
"Teton",2014,"17","232","2","1","4","239"
"Teton",2014,"18 to 20","476","27","7","13","523"
"Teton",2014,"21 to 24","896","30","11","20","957"
"Teton",2014,"25 & over","16467","183","169","231","17050"
"Teton",2014,"Total","22001","282","233","330","22846"
"Sublette",2005,"0","83","0","0","0","83"
"Sublette",2005,"1","100","3","0","0","103"
"Sublette",2005,"2","83","0","0","0","83"
"Sublette",2005,"3","76","1","1","0","78"
"Sublette",2005,"4","71","0","2","1","74"
"Sublette",2005,"5","86","0","1","0","87"
"Sublette",2005,"6","91","0","1","1","93"
"Sublette",2005,"7","110","1","0","0","111"
"Sublette",2005,"8","94","0","1","1","96"
"Sublette",2005,"9","95","0","0","0","95"
"Sublette",2005,"10","78","0","0","0","78"
"Sublette",2005,"11","108","0","2","1","111"
"Sublette",2005,"12","94","1","1","0","96"
"Sublette",2005,"13","98","0","1","0","99"
"Sublette",2005,"14","101","0","1","0","102"
"Sublette",2005,"15","107","1","1","2","111"
"Sublette",2005,"16","123","0","2","0","125"
"Sublette",2005,"17","102","0","3","0","105"
"Sublette",2005,"18 to 20","220","3","3","3","229"
"Sublette",2005,"21 to 24","292","1","3","6","302"
"Sublette",2005,"25 & over","5159","36","37","22","5254"
"Sublette",2005,"Total","7371","47","60","37","7515"
"Sheridan",1990,"0","269","0","3","0","272"
"Sheridan",1990,"1","279","1","4","3","287"
"Sheridan",1990,"2","269","0","3","0","272"
"Sheridan",1990,"3","286","0","3","0","289"
"Sheridan",1990,"4","314","0","5","9","328"
"Sheridan",1990,"5","350","2","6","2","360"
"Sheridan",1990,"6","360","0","2","1","363"
"Sheridan",1990,"7","381","0","2","0","383"
"Sheridan",1990,"8","362","0","6","0","368"
"Sheridan",1990,"9","380","0","3","0","383"
"Sheridan",1990,"10","426","0","3","1","430"
"Sheridan",1990,"11","371","0","2","1","374"
"Sheridan",1990,"12","379","2","4","0","385"
"Sheridan",1990,"13","363","1","1","0","365"
"Sheridan",1990,"14","371","0","8","5","384"
"Sheridan",1990,"15","371","1","7","1","380"
"Sheridan",1990,"16","335","0","4","5","344"
"Sheridan",1990,"17","381","0","3","9","393"
"Sheridan",1990,"18 to 20","905","8","10","0","923"
"Sheridan",1990,"21 to 24","726","0","11","7","744"
"Sheridan",1990,"25 & over","15378","16","122","50","15566"
"Sheridan",1990,"Total","23256","31","212","94","23593"
"Park",1999,"0","267","0","2","1","270"
"Park",1999,"1","269","0","3","0","272"
"Park",1999,"2","310","0","4","3","317"
"Park",1999,"3","290","0","0","0","290"
"Park",1999,"4","281","0","1","6","288"
"Park",1999,"5","280","1","3","3","287"
"Park",1999,"6","288","0","0","0","288"
"Park",1999,"7","318","0","1","0","319"
"Park",1999,"8","354","0","3","0","357"
"Park",1999,"9","362","0","1","0","363"
"Park",1999,"10","345","0","3","0","348"
"Park",1999,"11","371","0","0","5","376"
"Park",1999,"12","399","0","9","3","411"
"Park",1999,"13","421","2","2","2","427"
"Park",1999,"14","410","2","0","2","414"
"Park",1999,"15","459","1","1","0","461"
"Park",1999,"16","419","0","5","2","426"
"Park",1999,"17","455","0","1","0","456"
"Park",1999,"18 to 20","1325","0","16","20","1361"
"Park",1999,"21 to 24","979","0","2","6","987"
"Park",1999,"25 & over","16789","7","80","70","16946"
"Park",1999,"Total","25391","13","137","123","25664"
"Sweetwater",2004,"0","534","13","9","7","563"
"Sweetwater",2004,"1","590","10","10","3","613"
"Sweetwater",2004,"2","542","20","14","5","581"
"Sweetwater",2004,"3","515","14","10","5","544"
"Sweetwater",2004,"4","534","9","7","2","552"
"Sweetwater",2004,"5","535","6","5","6","552"
"Sweetwater",2004,"6","509","6","10","3","528"
"Sweetwater",2004,"7","500","10","11","5","526"
"Sweetwater",2004,"8","470","7","5","4","486"
"Sweetwater",2004,"9","458","9","6","3","476"
"Sweetwater",2004,"10","526","7","14","2","549"
"Sweetwater",2004,"11","526","13","12","2","553"
"Sweetwater",2004,"12","573","6","7","2","588"
"Sweetwater",2004,"13","594","10","11","2","617"
"Sweetwater",2004,"14","576","11","9","6","602"
"Sweetwater",2004,"15","560","10","5","3","578"
"Sweetwater",2004,"16","580","8","7","5","600"
"Sweetwater",2004,"17","618","7","9","9","643"
"Sweetwater",2004,"18 to 20","1797","32","23","27","1879"
"Sweetwater",2004,"21 to 24","2332","33","35","40","2440"
"Sweetwater",2004,"25 & over","22860","230","258","208","23556"
"Sweetwater",2004,"Total","36729","471","477","349","38026"
"Sheridan",1991,"0","257","0","3","0","260"
"Sheridan",1991,"1","282","1","4","3","290"
"Sheridan",1991,"2","269","0","3","0","272"
"Sheridan",1991,"3","280","0","3","0","283"
"Sheridan",1991,"4","297","0","6","6","309"
"Sheridan",1991,"5","333","2","7","2","344"
"Sheridan",1991,"6","360","0","2","1","363"
"Sheridan",1991,"7","367","0","2","0","369"
"Sheridan",1991,"8","360","0","7","0","367"
"Sheridan",1991,"9","381","0","3","0","384"
"Sheridan",1991,"10","416","0","3","2","421"
"Sheridan",1991,"11","395","0","4","3","402"
"Sheridan",1991,"12","392","3","5","0","400"
"Sheridan",1991,"13","368","1","1","0","370"
"Sheridan",1991,"14","389","0","8","3","400"
"Sheridan",1991,"15","367","1","7","1","376"
"Sheridan",1991,"16","348","0","4","5","357"
"Sheridan",1991,"17","381","0","3","7","391"
"Sheridan",1991,"18 to 20","904","8","10","0","922"
"Sheridan",1991,"21 to 24","745","0","11","7","763"
"Sheridan",1991,"25 & over","15492","14","126","47","15679"
"Sheridan",1991,"Total","23383","30","222","87","23722"
"Fremont",2001,"0","253","3","239","1","496"
"Fremont",2001,"1","290","1","161","0","452"
"Fremont",2001,"2","302","3","192","1","498"
"Fremont",2001,"3","303","3","173","1","480"
"Fremont",2001,"4","297","2","128","1","428"
"Fremont",2001,"5","291","3","163","0","457"
"Fremont",2001,"6","307","2","142","2","453"
"Fremont",2001,"7","350","1","184","1","536"
"Fremont",2001,"8","336","3","155","1","495"
"Fremont",2001,"9","362","4","167","2","535"
"Fremont",2001,"10","369","1","197","1","568"
"Fremont",2001,"11","367","2","156","3","528"
"Fremont",2001,"12","396","3","206","3","608"
"Fremont",2001,"13","388","1","171","3","563"
"Fremont",2001,"14","443","0","164","2","609"
"Fremont",2001,"15","472","1","169","1","643"
"Fremont",2001,"16","461","3","150","2","616"
"Fremont",2001,"17","467","1","163","0","631"
"Fremont",2001,"18 to 20","1141","4","424","6","1575"
"Fremont",2001,"21 to 24","1044","3","419","13","1479"
"Fremont",2001,"25 & over","19394","33","3548","93","23068"
"Fremont",2001,"Total","28033","77","7471","137","35718"
"Sublette",2016,"0","110","3","2","2","117"
"Sublette",2016,"1","109","0","0","2","111"
"Sublette",2016,"2","127","2","1","3","133"
"Sublette",2016,"3","136","2","1","1","140"
"Sublette",2016,"4","136","2","1","0","139"
"Sublette",2016,"5","130","1","2","0","133"
"Sublette",2016,"6","115","5","1","0","121"
"Sublette",2016,"7","134","5","1","1","141"
"Sublette",2016,"8","157","4","1","0","162"
"Sublette",2016,"9","143","1","2","3","149"
"Sublette",2016,"10","113","2","1","0","116"
"Sublette",2016,"11","117","2","1","1","121"
"Sublette",2016,"12","118","2","3","2","125"
"Sublette",2016,"13","124","1","1","1","127"
"Sublette",2016,"14","124","3","1","12","140"
"Sublette",2016,"15","105","1","2","15","123"
"Sublette",2016,"16","115","3","2","3","123"
"Sublette",2016,"17","133","1","4","1","139"
"Sublette",2016,"18 to 20","255","3","8","1","267"
"Sublette",2016,"21 to 24","333","5","8","4","350"
"Sublette",2016,"25 & over","6569","91","71","61","6792"
"Sublette",2016,"Total","9403","139","114","113","9769"
"Campbell",2001,"0","494","3","16","4","517"
"Campbell",2001,"1","529","4","11","3","547"
"Campbell",2001,"2","525","4","9","2","540"
"Campbell",2001,"3","517","6","7","0","530"
"Campbell",2001,"4","477","5","7","0","489"
"Campbell",2001,"5","513","2","9","1","525"
"Campbell",2001,"6","508","6","9","3","526"
"Campbell",2001,"7","545","6","12","3","566"
"Campbell",2001,"8","527","7","11","2","547"
"Campbell",2001,"9","553","5","5","4","567"
"Campbell",2001,"10","584","3","8","3","598"
"Campbell",2001,"11","576","1","6","3","586"
"Campbell",2001,"12","607","0","7","4","618"
"Campbell",2001,"13","621","2","13","2","638"
"Campbell",2001,"14","640","3","10","5","658"
"Campbell",2001,"15","658","0","10","4","672"
"Campbell",2001,"16","728","2","10","3","743"
